N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
10-2013-0282,10,SANT MARTI,65,el Clot,Avinguda,MERIDIANA,1,113,,,,,,,2,,HUTB-005681,9,2.1854641083962334,41.406116863040907
06-2013-0253,6,GRACIA,31,la Vila de Gràcia,Carrer,PROVIDENCIA,2,46,,,,,,,BJ,1,HUTB-006753,6,2.1558997713463004,41.404766127232321
05-2013-0313,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,BALLESTER,1,21,,23,,,,,2,3,HUTB-006027,3,2.1439892436115313,41.404426631621106
05-2013-0315,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,BALLESTER,1,21,,23,,,,,3,2,HUTB-006026,3,2.1439892436115313,41.404426631621106
02-2013-0731,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,BALMES,1,9,,,,,,,5,3,HUTB-005765,8,2.164762520097395,41.384880308479197
02-2013-0579,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,3,1,HUTB-005612,9,2.1781544200184046,41.399196292817798
02-2013-0580,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,9,2,HUTB-005610,10,2.1781544200184046,41.399196292817798
02-2013-0581,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,7,3,HUTB-005611,8,2.1781544200184046,41.399196292817798
02-2013-0582,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,MARINA,2,212,,,,,,,5,2,HUTB-005573,10,2.1781544200184046,41.399196292817798
06-2013-0269,6,GRACIA,31,la Vila de Gràcia,Carrer,PROGRES,1,21,,23,,,,,BJ,1,HUTB-005875,4,2.1590094552237806,41.398287521557094
03-2013-0154,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,1,HUTB-005530,4,2.1233968508523922,41.373691184187621
03-2013-0155,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,2,HUTB-005529,4,2.1233968508523922,41.373691184187621
03-2013-0156,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,3,HUTB-005528,4,2.1233968508523922,41.373691184187621
03-2013-0157,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,4,HUTB-005527,4,2.1233968508523922,41.373691184187621
03-2013-0158,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,5,HUTB-005526,4,2.1233968508523922,41.373691184187621
03-2013-0159,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,6,HUTB-005525,4,2.1233968508523922,41.373691184187621
03-2013-0160,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,7,HUTB-005514,4,2.1233968508523922,41.373691184187621
03-2013-0162,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,8,1,HUTB-005516,4,2.1233968508523922,41.373691184187621
03-2013-0163,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,8,2,HUTB-005517,4,2.1233968508523922,41.373691184187621
03-2013-0164,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,8,3,HUTB-005518,4,2.1233968508523922,41.373691184187621
03-2013-0165,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,8,4,HUTB-005519,4,2.1233968508523922,41.373691184187621
05-2013-0171,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Ronda,GENERAL MITRE,2,238,,,,,,,2,3,HUTB-005475,4,2.147624852981719,41.40395424853336
05-2013-0172,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Ronda,GENERAL MITRE,2,238,,,,,,,3,1,HUTB-005476,6,2.147624852981719,41.40395424853336
05-2013-0197,5,SARRIA-SANT GERVASI,25,Sant Gervasi - la Bonanova,Ronda,GENERAL MITRE,1,93,,,,,,,EN,1,HUTB-005575,23,2.1331721252226612,41.397845000605258
03-2013-0166,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,SANTS,1,387,,,,,,,7,8,HUTB-005515,4,2.1233968508523922,41.373691184187621
02-2013-0623,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ARAGO,1,347,,,,,,,6,2,HUTB-005625,7,2.1701663910700666,41.395329922631831
02-2013-0467,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,BALMES,2,8,,,,,,,3,2,HUTB-005424,4,2.1658603399106595,41.38435119912441
02-2013-0440,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,PROVENÇA,1,483,,,,,,,6,4,HUTB-005386,8,2.1757377540061551,41.40454771264293
09-2013-0110,9,SANT ANDREU,61,la Sagrera,Carrer,MONLAU,1,1,,,,,,,1,,HUTB-005576,9,2.1893538064549944,41.421100418942643
09-2013-0111,9,SANT ANDREU,61,la Sagrera,Carrer,MONLAU,1,1,,,,,,,BJ,,HUTB-005577,7,2.1893538064549944,41.421100418942643
09-2013-0112,9,SANT ANDREU,61,la Sagrera,Carrer,MONLAU,1,1,,,,,,,2,,HUTB-005582,9,2.1893538064549944,41.421100418942643
09-2013-0113,9,SANT ANDREU,61,la Sagrera,Carrer,MONLAU,1,1,,,,,,,3,,HUTB-005579,9,2.1893538064549944,41.421100418942643
09-2013-0115,9,SANT ANDREU,61,la Sagrera,Carrer,MONLAU,1,1,,,,,,,4,,HUTB-005580,6,2.1893538064549944,41.421100418942643
02-2013-0404,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,1,111,,,,,,,1,1A,HUTB-005351,4,2.1671310929552794,41.395018157261219
02-2013-0405,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,1,111,,,,,,,1,1B,HUTB-005457,4,2.1671310929552794,41.395018157261219
01-2013-0311,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,COLOM,1,1,,,,,,,2,1,HUTB-003338,2,2.173714527842507,41.377975939611702
02-2013-0620,2,L'EIXAMPLE,6,la Sagrada Família,Plaça,SAGRADA FAMILIA,1,17,,,,,,,2,1,HUTB-005664,6,2.1730719166708345,41.400567982181471
02-2013-0768,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,BRUC,1,55,,,,,,,1,2,HUTB-006056,23,2.1699689062526457,41.391168617870598
02-2013-0695,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,VALENCIA,1,505,,,,,,,4,2,HUTB-007647,3,2.1790308915920624,41.403609429126867
02-2013-0696,2,L'EIXAMPLE,5,el Fort Pienc,Gran Via,CORTS CATALANES,1,721,,,,,,,6,D,HUTB-005723,7,2.178279461801353,41.396242123431776
02-2013-0757,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,PR,1A,HUTB-005900,6,2.1638614265643032,41.388320190450628
02-2013-0758,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,PR,1B,HUTB-005899,6,2.1638614265643032,41.388320190450628
02-2013-0759,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,PR,2A,HUTB-005902,5,2.1638614265643032,41.388320190450628
02-2013-0760,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,PR,2B,HUTB-005901,6,2.1638614265643032,41.388320190450628
02-2013-0761,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,1,1A,HUTB-006015,7,2.1638614265643032,41.388320190450628
02-2013-0762,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,1,1B,HUTB-006014,6,2.1638614265643032,41.388320190450628
02-2013-0763,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,1,2A,HUTB-006013,6,2.1638614265643032,41.388320190450628
02-2013-0671,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ARAGO,1,249,,,,,,,5,3,HUTB-005693,4,2.1618049324283826,41.389029386478526
03-2014-0132,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,VALLHONRAT,2,18,,,,,,,2,1,HUTB-008779,6,2.1558931759943869,41.37233702719935
02-2013-0600,2,L'EIXAMPLE,10,Sant Antoni,Carrer,ENTENÇA,1,33,,,,,,,1,2,HUTB-005633,9,2.1527395006668937,41.375194096754157
02-2013-0602,2,L'EIXAMPLE,10,Sant Antoni,Carrer,ENTENÇA,1,33,,,,,,,3,1,HUTB-005632,8,2.1527395006668937,41.375194096754157
05-2013-0167,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Ronda,GENERAL MITRE,2,238,,,,,,,2,2,HUTB-005735,4,2.147624852981719,41.40395424853336
03-2013-0184,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,RADAS,2,38,,40,,,,,AT,2,HUTB-005564,7,2.1592871746254931,41.370492504752406
02-2013-0764,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,1,2B,HUTB-006012,6,2.1638614265643032,41.388320190450628
02-2013-0837,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,PROVENÇA,2,78,,,,,,,1,2,HUTB-006018,5,2.1464291196291621,41.382228557475138
02-2013-0476,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,291,,,,,,,PR,2,HUTB-005510,7,2.167854683620781,41.390129725113319
02-2013-0477,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,291,,,,,,,1,2,HUTB-005509,3,2.167854683620781,41.390129725113319
02-2013-0478,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,291,,,,,,,1,3,HUTB-005512,4,2.167854683620781,41.390129725113319
02-2013-0479,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,291,,,,,,,2,2,HUTB-005513,3,2.167854683620781,41.390129725113319
02-2013-0481,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,291,,,,,,,2,3,HUTB-005508,4,2.167854683620781,41.390129725113319
02-2013-0482,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,291,,,,,,,3,3,HUTB-005507,4,2.167854683620781,41.390129725113319
02-2013-0484,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,DIPUTACIO,1,291,,,,,,,4,2,HUTB-005511,6,2.167854683620781,41.390129725113319
03-2013-0095,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,CREU DELS MOLERS,2,22,,,,,,,2,1,HUTB-005347,6,2.1604153795740135,41.371629160483387
02-2013-0833,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,TARRAGONA,2,106,,,,,,,6,1,HUTB-005871,12,2.1430001819717246,41.377718238131074
02-2013-0496,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CASP,1,41,,,,,,,3,1A,HUTB-007572,8,2.1727974124262595,41.390048709028491
02-2013-0497,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CASP,1,41,,,,,,,4,1,HUTB-007573,6,2.1727974124262595,41.390048709028491
03-2013-0274,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,SALVA,1,59,,,,,,,BJ,1,HUTB-005825,8,2.1642140691475538,41.370436346920762
03-2013-0275,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,CREU DELS MOLERS,1,57,,,,,,,2,2,HUTB-005832,5,2.1602679570693093,41.370835773215184
02-2014-0512,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,PAU CLARIS,1,87,,,,,,,PR,4,HUTB-011420,2,2.1694040054955468,41.388174418518332
03-2013-0093,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CONSELL DE CENT,1,49,B,,,,,,5,1,HUTB-005344,3,2.1446380008085688,41.374816951210796
03-2013-0094,3,SANTS-MONTJUÏC,15,Hostafrancs,Carrer,CONSELL DE CENT,1,49,B,,,,,,5,2,HUTB-005345,5,2.1446380008085688,41.374816951210796
02-2013-0480,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,124,,,,,,,PR,4,HUTB-005437,3,2.1499729640348066,41.379264485724534
02-2013-0483,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,124,,,,,,,1,4,HUTB-005438,3,2.1499729640348066,41.379264485724534
02-2013-0485,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,124,,,,,,,4,3,HUTB-005440,3,2.1499729640348066,41.379264485724534
06-2013-0202,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,CA L'ALEGRE DE DALT,1,79,,,,,,,BJ,1,HUTB-005617,4,2.1584635268118944,41.408876923372709
02-2013-0797,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,42,,,,,,,3,2B,HUTB-005863,9,2.1638614265643032,41.388320190450628
02-2013-0948,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MARINA,2,240,,,,,,,1,4,HUTB-006037,3,2.1760504599872847,41.400714167448633
10-2013-0226,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,XIFRE,1,11,,,,,,,2,2,HUTB-005566,3,2.1826502034495974,41.406749968176825
03-2013-0231,3,SANTS-MONTJUÏC,18,Sants,Avinguda,JOSEP TARRADELLAS,1,3,,,,,,,3,2,HUTB-005692,9,2.1409425520043062,41.379700815926945
10-2013-0292,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Passeig,GARCIA FARIA,1,73,,,,,,,3,7,HUTB-005732,4,2.2142196918835806,41.403121525886164
06-2013-0297,6,GRACIA,31,la Vila de Gràcia,Carrer,SANTA ROSA,1,19,,,,,,,2,1,HUTB-006010,2,2.1525960879078578,41.401624299192129
02-2013-0599,2,L'EIXAMPLE,10,Sant Antoni,Ronda,SANT PAU,1,3,,,,,,,2,1,HUTB-005590,9,2.166099733884288,41.373537179040582
03-2013-0229,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,ROSER,1,61,,,,,,,AT,,HUTB-005684,3,2.1650664884314814,41.370614155554662
01-2013-0268,1,CIUTAT VELLA,1,el Raval,Carrer,TALLERS,2,28,,,,,,,PR,,HUTB-001778,14,2.1672851558733943,41.383015355008865
01-2013-0269,1,CIUTAT VELLA,1,el Raval,Carrer,TALLERS,2,28,,,,,,,3,2,HUTB-001777,6,2.1672851558733943,41.383015355008865
01-2013-0270,1,CIUTAT VELLA,1,el Raval,Carrer,TALLERS,1,61,,,,,,,EN,1A,HUTB-001779,12,2.1663480449747743,41.382987753111415
01-2013-0271,1,CIUTAT VELLA,1,el Raval,Carrer,NOU DE LA RAMBLA,2,40,,,,,,,3,,HUTB-002482,20,2.1718445130611195,41.376062547600341
06-2013-0173,6,GRACIA,31,la Vila de Gràcia,Carrer,ESCORIAL,1,11,,13,,,,,PR,2,HUTB-005477,6,2.1610235559729798,41.404424757998804
02-2013-0540,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,PROVENÇA,1,71,,,,,,,EN,3,HUTB-005592,6,2.1474971272723429,41.383315052446314
03-2013-0232,3,SANTS-MONTJUÏC,17,Sants - Badal,Carrer,PORTBOU,1,27,,,,,,,AT,2,HUTB-005695,6,2.1255456417982819,41.374777968941594
05-2013-0258,5,SARRIA-SANT GERVASI,25,Sant Gervasi - la Bonanova,Passeig,BONANOVA,2,54,,,,,,,1,C,HUTB-005851,3,2.1264858312399504,41.401636275660252
02-2013-0825,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ARAGO,2,288,,,,,,,4,1,HUTB-006016,5,2.1657746205175696,41.391619447657682
02-2013-0865,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Gran Via,CORTS CATALANES,1,539,,,,,,,1,1,HUTB-005911,6,2.1585554175293318,41.381457528484063
01-2013-0223,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,PR,2,HUTB-000696,5,2.1726588906735969,41.376064856814438
01-2013-0224,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,PR,1,HUTB-000695,5,2.1726588906735969,41.376064856814438
01-2013-0225,1,CIUTAT VELLA,1,el Raval,Carrer,GUARDIA,2,8,,,,,,,3,1,HUTB-000691,5,2.1726588906735969,41.376064856814438
02-2013-0688,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,598,,,,,,,2,,HUTB-005697,12,2.1639278376937825,41.38481036536848
06-2013-0273,6,GRACIA,31,la Vila de Gràcia,Carrer,ESCORIAL,1,11,,,,,,,3,2,HUTB-005877,6,2.1610235559729798,41.404424757998804
10-2013-0378,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Passeig,TAULAT,1,223,,,,,,A,5,1,HUTB-006065,6,2.209328420127409,41.40159856415805
02-2013-0561,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,634,,,,,,,4,2,HUTB-005599,7,2.1678789956250162,41.387770114164702
02-2013-0465,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,VALENCIA,2,506,,,,,,,3,2,HUTB-005425,3,2.1786785071816155,41.403071635192816
03-2013-0263,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,CABANES,2,54,,,,,,,3,,HUTB-005810,2,2.1682496349980394,41.370138244109611
06-2013-0165,6,GRACIA,31,la Vila de Gràcia,Carrer,MOZART,2,20,,,,,,,1,5,HUTB-005426,2,2.1570521395908533,41.39763909811856
01-2013-0217,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CORDERS,1,1,,,,,,,2,,HUTB-003505,2,2.1782959712204182,41.383455830133492
01-2013-0218,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,CORDERS,1,1,,,,,,,1,,HUTB-003504,2,2.1782959712204182,41.383455830133492
01-2013-0219,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,DAMES,1,1,,,,,,,3,,HUTB-003031,2,2.1817738461792122,41.38191534060401
09-2013-0135,9,SANT ANDREU,60,Sant Andreu,Carrer,SANTA MARTA,2,10,,,,,,,BJ,,HUTB-005680,29,2.1895282478469071,41.434890951283727
02-2013-0738,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,VALENCIA,1,441,,,,,,,2,2,HUTB-005759,6,2.1752649050073409,41.400792227861821
06-2013-0249,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,CA L'ALEGRE DE DALT,1,79,,,,,,,BJ,5,HUTB-007970,4,2.1584635268118944,41.408876923372709
05-2013-0220,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,17,,,,,,,8,2,HUTB-005687,2,2.1429761566990275,41.392267415317789
05-2013-0221,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,17,,,,,,,8,1,HUTB-005682,2,2.1429761566990275,41.392267415317789
05-2013-0222,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,CALVET,1,17,,,,,,,8,3,HUTB-005683,2,2.1429761566990275,41.392267415317789
02-2013-0909,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,ARIBAU,1,47,,,,,,,4,2,HUTB-005963,9,2.158698720520464,41.386054641624639
09-2013-0154,9,SANT ANDREU,61,la Sagrera,Carrer,FELIP II,2,128,,130,,,,,1,1,HUTB-005828,6,2.1834472556519091,41.420627821837414
09-2013-0155,9,SANT ANDREU,61,la Sagrera,Carrer,FELIP II,2,128,,130,,,,,4,2,HUTB-005829,6,2.1834472556519091,41.420627821837414
02-2013-0799,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CORSEGA,1,211,,,,,,,3,1,HUTB-005862,6,2.1509130061105139,41.389296072640356
03-2013-0308,3,SANTS-MONTJUÏC,17,Sants - Badal,Riera,BLANCA,1,119,,,,,,,1,,HUTB-005973,6,2.1261848999531141,41.369918358794003
03-2013-0309,3,SANTS-MONTJUÏC,17,Sants - Badal,Riera,BLANCA,1,119,,,,,,,2,,HUTB-005974,6,2.1261848999531141,41.369918358794003
03-2013-0310,3,SANTS-MONTJUÏC,17,Sants - Badal,Riera,BLANCA,1,119,,,,,,,3,,HUTB-005976,6,2.1261848999531141,41.369918358794003
03-2013-0311,3,SANTS-MONTJUÏC,17,Sants - Badal,Riera,BLANCA,1,119,,,,,,,4,,HUTB-005977,12,2.1261848999531141,41.369918358794003
05-2013-0296,5,SARRIA-SANT GERVASI,25,Sant Gervasi - la Bonanova,Carrer,TEODORA LAMADRID,2,52,,60,,,,G,AT,,HUTB-005984,6,2.1336736567567134,41.406198646169948
05-2013-0300,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,BALMES,2,246,,,,,,,4,1,HUTB-005985,10,2.1490589997831115,41.397728352942082
05-2013-0301,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,ARIBAU,2,304,,,,,,,5,1,HUTB-005986,5,2.1452057231776598,41.397008168735056
10-2013-0217,10,SANT MARTI,68,el Poblenou,Carrer,RAMON TURRO,2,264,,,,,,,1,1,HUTB-005521,5,2.2058953159548857,41.400975750983072
02-2013-0589,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,1,343,,,,,,,3,2A,HUTB-005629,5,2.1639021419776903,41.388858747892051
02-2013-0590,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,1,343,,,,,,,3,2B,HUTB-007582,11,2.1639021419776903,41.388858747892051
02-2013-0661,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,284,,,,,,,1,2B,HUTB-005741,8,2.1636357835124125,41.391780882103809
02-2013-0662,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,284,,,,,,,1,1A,HUTB-005740,12,2.1636357835124125,41.391780882103809
02-2013-0663,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,284,,,,,,,1,2A,HUTB-005739,11,2.1636357835124125,41.391780882103809
02-2013-0664,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,284,,,,,,,3,1B,HUTB-005742,5,2.1636357835124125,41.391780882103809
02-2013-0665,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,284,,,,,,,3,1A,HUTB-005737,12,2.1636357835124125,41.391780882103809
02-2013-0848,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,317,,319,,,,,1,3,HUTB-005896,8,2.1671111229143354,41.394676583492007
03-2013-0209,3,SANTS-MONTJUÏC,18,Sants,Carrer,VIOLANT HONGRIA REINA ARAGO,2,60,,62,,,,,8,2,HUTB-005623,5,2.1287552689888338,41.376694938490992
03-2013-0210,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,ELKANO,2,54,,,,,,,4,1,HUTB-005621,5,2.1611739762957503,41.371684702659365
10-2013-0194,10,SANT MARTI,68,el Poblenou,Carrer,JONCAR,1,7,,11,,,,,2,4,HUTB-005391,7,2.2021907954710911,41.398449127997168
09-2013-0163,9,SANT ANDREU,63,Navas,Carrer,ESPRONCEDA,1,395,,,,,,,BJ,,HUTB-005926,8,2.1840729256581044,41.418005873108292
02-2013-0550,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CASP,1,41,,,,,,,2,1A,HUTB-005596,7,2.1727974124262595,41.390048709028491
02-2013-0551,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CASP,1,41,,,,,,,1,1A,HUTB-005594,7,2.1727974124262595,41.390048709028491
01-2013-0184,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Via,LAIETANA,2,54,,,,,,,AT,1,HUTB-000986,7,2.1735695622203304,41.385422199113094
06-2013-0244,6,GRACIA,31,la Vila de Gràcia,Carrer,IGUALADA,1,19,,,,,,,EN,3,HUTB-005793,3,2.1617644443847865,41.399858426984125
04-2013-0141,4,LES CORTS,19,les Corts,Carrer,BERLIN,1,37,,,,,,,3,3,HUTB-005794,4,2.1368853046400647,41.381031209965819
04-2013-0142,4,LES CORTS,19,les Corts,Travessera,CORTS,1,293,,,,,,,1,2,HUTB-005795,4,2.1338108668376679,41.385009016653541
06-2013-0263,6,GRACIA,31,la Vila de Gràcia,Carrer,TORRENT DE L'OLLA,1,111,,,,,,,3,2,HUTB-005857,6,2.1556700815870742,41.400542535668805
03-2013-0290,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,99,,,,,,,2,3,HUTB-005897,6,2.1623197791522051,41.372948852374861
05-2013-0218,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,LAFORJA,1,101,,,,,,,AT,1,HUTB-005686,8,2.1426859537415757,41.393617089053464
02-2013-0820,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,COMTE D'URGELL,1,139,,,,,,,5,1,HUTB-005842,9,2.1513440688332457,41.384706163619192
02-2013-0916,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Avinguda,DIAGONAL,1,319,A,,,,,,6,2,HUTB-005978,4,2.1700210765220556,41.397339311719989
02-2013-0922,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,ROGER DE FLOR,1,89,,,,,,,2,1,HUTB-005971,5,2.1772348014523981,41.392496670954522
02-2013-0679,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE BORRELL,1,45,,,,,,,PR,,HUTB-007575,7,2.1615414121215348,41.375364668292072
02-2013-0680,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE BORRELL,1,45,,,,,,,1,1,HUTB-007576,3,2.1615414121215348,41.375364668292072
02-2013-0681,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE BORRELL,1,45,,,,,,,2,1,HUTB-007577,3,2.1615414121215348,41.375364668292072
02-2013-0682,2,L'EIXAMPLE,10,Sant Antoni,Carrer,COMTE BORRELL,1,45,,,,,,,3,1,HUTB-007578,3,2.1615414121215348,41.375364668292072
02-2013-0683,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,1,187,,,,,,,PR,1,HUTB-005710,7,2.1614503113464112,41.37812998994746
02-2013-0684,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,1,187,,,,,,,PR,2,HUTB-005711,3,2.1614503113464112,41.37812998994746
02-2013-0685,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,1,187,,,,,,,1,1,HUTB-005712,3,2.1614503113464112,41.37812998994746
02-2013-0686,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,1,187,,,,,,,1,2,HUTB-005719,5,2.1614503113464112,41.37812998994746
